"No.","Time","Source","Destination","Protocol","Length","Info"
"523","1.963978","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=111577 Ack=957 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"524","1.963978","104.70.235.169","192.168.255.117","TLSv1.2","934","Application Data"
"525","1.964153","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1057 Ack=113837 Win=4193 Len=0"
"526","1.974707","192.168.255.117","74.125.250.102","UDP","1164","63848  >  19305 Len=1122"
"527","1.980709","192.168.255.117","74.125.250.102","UDP","161","63848  >  19305 Len=119"
"528","1.980945","192.168.255.117","74.125.250.102","UDP","1164","63848  >  19305 Len=1122"
"529","1.987796","192.168.255.117","74.125.250.102","UDP","1164","63848  >  19305 Len=1122"
"530","1.997064","192.168.255.117","104.70.235.169","TLSv1.2","158","Application Data"
"531","2.000046","192.168.255.117","74.125.250.102","UDP","155","63848  >  19305 Len=113"
"532","2.002647","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"533","2.004538","192.168.255.117","104.70.235.169","TLSv1.2","213","Application Data"
"534","2.021357","192.168.255.117","74.125.250.102","UDP","167","63848  >  19305 Len=125"
"535","2.037800","172.217.194.113","192.168.255.117","UDP","68","443  >  60537 Len=26"
"536","2.038272","192.168.255.117","142.251.10.95","UDP","75","64219  >  443 Len=33"
"537","2.040554","192.168.255.117","74.125.250.102","UDP","172","63848  >  19305 Len=130"
"538","2.056310","192.168.255.117","74.125.250.102","UDP","1096","63848  >  19305 Len=1054"
"539","2.060282","192.168.255.117","74.125.250.102","UDP","179","63848  >  19305 Len=137"
"540","2.062759","74.125.250.102","192.168.255.117","UDP","100","19305  >  63848 Len=58"
"541","2.080438","192.168.255.117","74.125.250.102","UDP","166","63848  >  19305 Len=124"
"542","2.100214","192.168.255.117","74.125.250.102","UDP","170","63848  >  19305 Len=128"
"543","2.105813","74.125.250.102","192.168.255.117","UDP","108","19305  >  63848 Len=66"
"544","2.105813","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=113837 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"545","2.105984","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1320 Ack=115217 Win=4193 Len=0"
"546","2.106729","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=115217 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"547","2.106729","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=116597 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"548","2.106729","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=117977 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"549","2.106729","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=119357 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"550","2.106729","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=120737 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"551","2.106872","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1320 Ack=122117 Win=4193 Len=0"
"552","2.108813","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=122117 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"553","2.108813","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=123497 Ack=1057 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"554","2.108949","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1320 Ack=124877 Win=4193 Len=0"
"555","2.109077","104.70.235.169","192.168.255.117","TLSv1.2","944","Application Data"
"556","2.117759","192.168.255.117","104.70.235.169","TLSv1.2","161","Application Data"
"557","2.120243","192.168.255.117","74.125.250.102","UDP","170","63848  >  19305 Len=128"
"558","2.130276","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=125767 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"559","2.130276","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=127147 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"560","2.130459","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1427 Ack=128527 Win=4193 Len=0"
"561","2.131094","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=128527 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"562","2.131094","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=129907 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"563","2.131094","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=131287 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"564","2.131094","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=132667 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"565","2.131260","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1427 Ack=134047 Win=4193 Len=0"
"566","2.133657","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=134047 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"567","2.133657","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=135427 Ack=1320 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
